nta,violation_count,violation_lead,violation_mold,violation_pests,violation_heat,violation_health_total,violation_severity_score,violation_class_A,violation_class_B,violation_class_C,violation_class_I,complaint_count,problem_count,complaint_heat,complaint_mold,complaint_pests,complaint_lead,complaint_water,complaint_health_total,complaint_severity_score,nta_code,borough,building_count,violation_per_bldg,violation_health_per_bldg,complaint_per_bldg,complaint_health_per_bldg,violation_per_bldg_pctl,complaint_per_bldg_pctl,violation_health_per_bldg_pctl,complaint_health_per_bldg_pctl,asthma_rate_per_10k,lead_rate_per_1k,asthma_pctl,lead_pctl,total_units,pct_pre_1950,pct_pre_1978,avg_building_age,median_year_built,median_income,pct_white,pct_black,pct_hispanic,building_age_score,income_adjustment,complaint_health_adjusted,complaints_score_adjusted,asthma_match,asthma_match_score,lead_match,lead_match_score,violations_score,complaints_score,asthma_score,lead_score,housing_health_index,risk_tier,index_rank
Richmond Hill,12100.0,416.0,336.0,5590.0,542.0,6444.0,20831.0,3304.0,3607.0,2562.0,2627.0,4226.0,7870.0,2298.0,315.0,1019.0,610.0,3510.0,5454.0,7870.0,QN0902,Queens,866.0,13.97228637413395,7.441108545034642,4.8799076212471135,6.297921478060046,36.13861386138614,28.71287128712871,35.64356435643564,34.15841584158416,203.58536585365857,23.9,56.598984771573605,93.2017543859649,3751.0,91.14219114219114,93.006993006993,97.13286713286712,1920.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,84.92462311557789,1.0,6.297921478060046,32.0,Richmond Hill,1.0,Richmond Hill,1.0,35.64356435643564,32.0,56.598984771573605,93.2017543859649,52.485591730697934,Elevated Risk,81
Gravesend (East)-Homecrest,23654.0,1076.0,561.0,9148.0,896.0,11067.0,42083.0,6983.0,8153.0,5138.0,3380.0,7233.0,11155.0,4222.0,476.0,998.0,1041.0,5750.0,8265.0,11155.0,BK1501,Brooklyn,1152.0,20.53298611111111,9.606770833333334,6.278645833333333,7.174479166666667,54.95049504950495,41.089108910891085,57.920792079207914,39.10891089108911,113.66635514018692,14.9,36.54822335025381,67.32456140350878,10954.0,78.698752228164,90.10695187165776,85.7397504456328,1931.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,72.36180904522614,0.9665983064861458,7.422399893030951,39.5,Gravesend,0.6428571428571429,Gravesend,0.6428571428571429,57.920792079207914,39.5,36.54822335025381,67.32456140350878,51.895747408862064,Elevated Risk,82
Upper West Side-Manhattan Valley,28920.0,997.0,1043.0,6056.0,1730.0,8858.0,58706.0,6443.0,13362.0,8212.0,903.0,18056.0,27366.0,10048.0,1063.0,2623.0,2283.0,13915.0,19884.0,27366.0,MN0703,Manhattan,691.0,41.852387843704776,12.819102749638205,26.130246020260493,28.775687409551377,77.22772277227723,82.67326732673267,71.78217821782178,79.70297029702971,29.257142857142856,4.8,2.030456852791878,5.263157894736842,21684.0,93.76854599406528,95.84569732937686,108.34124629080118,1911.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,92.964824120603,1.089156951198049,26.42014759938753,78.0,Upper East Side-Carnegie Hill,0.6557377049180327,Upper East Side-Carnegie Hill,0.6557377049180327,71.78217821782178,78.0,2.030456852791878,5.263157894736842,51.52670093217574,Elevated Risk,83
Queensbridge-Ravenswood-Dutch Kills,7855.0,258.0,169.0,3097.0,453.0,3763.0,13988.0,2494.0,2241.0,1946.0,1174.0,2723.0,4379.0,1440.0,198.0,453.0,321.0,2078.0,3050.0,4379.0,QN0105,Queens,456.0,17.225877192982455,8.25219298245614,5.9714912280701755,6.68859649122807,48.01980198019802,38.613861386138616,42.57425742574257,36.13861386138614,265.4194444444444,18.1,68.02030456852792,82.23684210526315,9790.0,72.57281553398059,79.12621359223301,79.88592233009709,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,38.19095477386934,1.0,6.68859649122807,35.5,Queensbridge-Ravenswood-Long Island City,0.6933333333333334,Queensbridge-Ravenswood-Long Island City,0.6933333333333334,42.57425742574257,35.5,68.02030456852792,82.23684210526315,51.405959934604766,Elevated Risk,84
Clinton Hill,17398.0,347.0,496.0,8137.0,809.0,9383.0,28416.0,6222.0,4788.0,3115.0,3273.0,5842.0,9033.0,2863.0,421.0,879.0,789.0,4316.0,6405.0,9033.0,BK0204,Brooklyn,1088.0,15.990808823529411,8.624080882352942,5.369485294117647,5.8869485294117645,44.05940594059406,32.67326732673268,45.04950495049505,30.693069306930692,127.2169014084507,24.2,43.14720812182741,93.859649122807,12254.0,86.15528531337698,89.05519176800748,114.45463049579044,1901.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,67.8391959798995,0.9665983064861458,6.090377450393497,31.0,Clinton Hill,1.0,Clinton Hill,1.0,45.04950495049505,31.0,43.14720812182741,93.85964912280701,50.757160075925,Elevated Risk,85
Rockaway Beach-Arverne-Edgemere,21389.0,284.0,1454.0,7080.0,1005.0,9173.0,39552.0,5692.0,7641.0,5261.0,2795.0,7899.0,14640.0,3646.0,1027.0,1947.0,1289.0,6033.0,10296.0,14640.0,QN1402,Queens,872.0,24.52866972477064,10.519495412844035,9.05848623853211,11.807339449541283,62.87128712871287,52.47524752475248,64.35643564356435,57.920792079207914,231.79730458221024,6.7,62.43654822335025,16.666666666666664,8436.0,37.98358733880422,51.93434935521688,58.33177022274326,1963.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,6.030150753768844,1.0,11.807339449541283,58.5,Hammels-Arverne-Edgemere,0.6909090909090909,Hammels-Arverne-Edgemere,0.6909090909090909,64.35643564356435,58.5,62.43654822335025,16.666666666666664,49.52225541311624,Moderate Risk,86
Hollis,7394.0,167.0,298.0,2791.0,396.0,3412.0,13653.0,1551.0,2779.0,1740.0,1324.0,3481.0,5624.0,2115.0,221.0,642.0,463.0,2886.0,4212.0,5624.0,QN1206,Queens,447.0,16.5413870246085,7.633109619686801,7.787472035794184,9.422818791946307,46.03960396039604,47.02970297029702,38.11881188118812,50.0,260.2764331210191,13.2,67.00507614213198,53.07017543859649,2477.0,75.45454545454545,81.81818181818183,80.83636363636364,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,44.472361809045225,1.0,9.422818791946307,49.0,Hollis,1.0,Hollis,1.0,38.11881188118812,49.0,67.00507614213198,53.07017543859649,49.49442128947683,Moderate Risk,87
Sunset Park (Central),28738.0,888.0,875.0,11857.0,1210.0,13873.0,50772.0,9156.0,9198.0,6418.0,3966.0,7267.0,12714.0,4291.0,471.0,1135.0,948.0,5879.0,8433.0,12714.0,BK0703,Brooklyn,1469.0,19.56296800544588,9.443839346494212,4.946902654867257,5.740639891082369,52.47524752475248,29.7029702970297,54.95049504950495,29.7029702970297,120.28095238095236,13.4,40.10152284263959,55.26315789473685,8603.0,94.06487232574187,95.51414768806072,102.52864044168392,1920.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,91.95979899497488,0.9665983064861458,5.939012982498588,28.999999999999996,Sunset Park West,1.0,Sunset Park West,1.0,54.95049504950495,28.999999999999996,40.10152284263959,55.26315789473685,49.240906667087415,Moderate Risk,88
Oakland Gardens-Hollis Hills,2119.0,25.0,94.0,1051.0,45.0,1174.0,3364.0,877.0,531.0,357.0,354.0,1643.0,1980.0,1119.0,89.0,160.0,96.0,1327.0,1672.0,1980.0,QN1104,Queens,96.0,22.072916666666668,12.229166666666666,17.114583333333332,17.416666666666668,59.4059405940594,74.25742574257426,70.79207920792079,70.29702970297029,59.9595744680851,5.4,21.82741116751269,9.86842105263158,5841.0,19.791666666666664,83.33333333333334,63.947916666666664,1955.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,47.98994974874372,1.0,17.416666666666668,69.0,Oakland Gardens,1.0,Oakland Gardens,1.0,70.79207920792079,69.0,21.82741116751269,9.868421052631579,49.13236412864789,Moderate Risk,89
Sunset Park (East)-Borough Park (West),21709.0,839.0,742.0,9277.0,687.0,10774.0,37637.0,7008.0,7026.0,4451.0,3224.0,4675.0,7865.0,2692.0,389.0,840.0,721.0,3756.0,5706.0,7865.0,BK1201,Brooklyn,1063.0,20.422389463781748,10.13546566321731,4.397930385700847,5.367826904985889,53.96039603960397,24.752475247524753,62.37623762376238,27.22772277227723,30.034579439252333,38.5,3.2994923857868024,98.90350877192982,7109.0,89.77820636451301,91.22468659594986,94.84088717454196,1925.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,76.88442211055276,0.9665983064861458,5.553317100771091,26.0,Borough Park,0.6666666666666666,Borough Park,0.6666666666666666,62.37623762376238,26.0,3.2994923857868024,98.90350877192982,48.396738291130816,Moderate Risk,90
