nta,violation_count,violation_lead,violation_mold,violation_pests,violation_heat,violation_health_total,violation_severity_score,violation_class_A,violation_class_B,violation_class_C,violation_class_I,complaint_count,problem_count,complaint_heat,complaint_mold,complaint_pests,complaint_lead,complaint_water,complaint_health_total,complaint_severity_score,nta_code,borough,building_count,violation_per_bldg,violation_health_per_bldg,complaint_per_bldg,complaint_health_per_bldg,violation_per_bldg_pctl,complaint_per_bldg_pctl,violation_health_per_bldg_pctl,complaint_health_per_bldg_pctl,asthma_rate_per_10k,lead_rate_per_1k,asthma_pctl,lead_pctl,total_units,pct_pre_1950,pct_pre_1978,avg_building_age,median_year_built,median_income,pct_white,pct_black,pct_hispanic,building_age_score,income_adjustment,complaint_health_adjusted,complaints_score_adjusted,asthma_match,asthma_match_score,lead_match,lead_match_score,violations_score,complaints_score,asthma_score,lead_score,housing_health_index,risk_tier,index_rank
Chinatown-Two Bridges,12534.0,326.0,247.0,4087.0,888.0,5251.0,23217.0,3924.0,3797.0,3443.0,1370.0,5632.0,8217.0,3154.0,282.0,715.0,566.0,4332.0,5895.0,8217.0,MN0301,Manhattan,588.0,21.316326530612244,8.930272108843537,9.578231292517009,10.025510204081632,57.42574257425742,53.96039603960397,49.00990099009901,51.98019801980198,159.91019108280256,6.3,48.223350253807105,14.035087719298245,10660.0,92.70462633451956,93.23843416370109,111.18327402135232,1910.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,85.42713567839196,1.089156951198049,9.20483516453142,48.5,Chinatown,1.0,Chinatown,1.0,49.00990099009901,48.5,48.223350253807105,14.035087719298245,47.120617073525054,Moderate Risk,139
Ridgewood,46016.0,1723.0,1104.0,22534.0,1702.0,25547.0,75880.0,17362.0,10670.0,9597.0,8387.0,11827.0,19118.0,6137.0,984.0,2161.0,1441.0,8668.0,13254.0,19118.0,QN0502,Queens,3407.0,13.50631053712944,7.498385676548283,3.4713824479013797,3.89022600528324,32.17821782178218,13.366336633663368,36.13861386138614,14.356435643564357,173.66297968397294,19.1,51.26903553299492,85.96491228070175,16657.0,95.46925566343042,96.64607237422771,99.37422771403354,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,95.47738693467338,1.0,3.89022600528324,13.5,Ridgewood,1.0,Ridgewood,1.0,36.13861386138614,13.5,51.26903553299492,85.96491228070175,46.91286680058742,Moderate Risk,140
Jamaica Hills-Briarwood,10969.0,438.0,481.0,3653.0,465.0,4696.0,20869.0,2840.0,3650.0,3125.0,1354.0,6743.0,10234.0,4360.0,402.0,1210.0,741.0,5849.0,8202.0,10234.0,QN0805,Queens,518.0,21.175675675675677,9.065637065637066,13.017374517374517,15.833976833976834,56.930693069306926,66.83168316831683,51.48514851485149,66.83168316831683,122.68202247191012,9.4,41.87817258883248,30.70175438596491,8934.0,45.5621301775148,70.21696252465483,68.4733727810651,1952.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,19.09547738693467,1.0,15.833976833976834,65.5,Jamaica Estates-Holliswood,0.6530612244897959,Jamaica Estates-Holliswood,0.6530612244897959,51.48514851485149,65.5,41.878172588832484,30.701754385964914,46.71098996881015,Moderate Risk,141
South Jamaica,18056.0,338.0,620.0,8207.0,937.0,9572.0,31110.0,3664.0,6070.0,3492.0,4830.0,5659.0,10914.0,2750.0,527.0,1527.0,892.0,4536.0,7482.0,10914.0,QN1202,Queens,1339.0,13.48469006721434,7.148618371919342,4.226288274831965,5.587752053771471,31.18811881188119,23.26732673267327,32.17821782178218,28.71287128712871,436.97142857142865,14.6,86.29441624365482,64.91228070175438,3694.0,72.33560090702947,76.79516250944822,81.713529856387,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,31.65829145728643,1.0,5.587752053771471,27.500000000000004,South Jamaica,1.0,South Jamaica,1.0,32.17821782178218,27.500000000000004,86.29441624365482,64.91228070175438,46.690019846257414,Moderate Risk,142
Elmhurst,38396.0,1838.0,1303.0,16589.0,1301.0,19790.0,68454.0,12038.0,11136.0,9461.0,5761.0,16970.0,25060.0,10833.0,956.0,2361.0,1911.0,13846.0,19074.0,25060.0,QN0401,Queens,2179.0,17.62092703074805,9.082147774208352,7.787976135842129,8.753556677374943,49.504950495049506,47.52475247524752,52.47524752475248,46.03960396039604,140.499481865285,13.2,45.17766497461929,53.07017543859649,24380.0,44.5475638051044,69.32714617169373,67.2445475638051,1955.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,17.587939698492463,1.0,8.753556677374943,46.5,Elmhurst,1.0,Elmhurst,1.0,52.475247524752476,46.5,45.17766497461929,53.07017543859649,46.122427537988315,Moderate Risk,143
Rego Park,7012.0,388.0,219.0,1854.0,295.0,2505.0,13812.0,1855.0,2420.0,2190.0,547.0,6311.0,7947.0,4476.0,236.0,565.0,463.0,5284.0,6548.0,7947.0,QN0601,Queens,276.0,25.405797101449274,9.076086956521738,22.865942028985508,23.72463768115942,64.35643564356435,78.71287128712872,51.98019801980198,75.74257425742574,63.76666666666667,7.6,23.096446700507613,21.271929824561404,9669.0,54.07407407407408,79.62962962962963,69.62962962962963,1945.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,39.19597989949749,1.0,23.72463768115942,75.0,Rego Park,1.0,Rego Park,1.0,51.98019801980198,75.0,23.096446700507613,21.271929824561404,46.073736209676085,Moderate Risk,144
Canarsie,22557.0,265.0,1148.0,9970.0,1306.0,11905.0,39953.0,4318.0,9278.0,4059.0,4902.0,7714.0,14367.0,3579.0,897.0,1961.0,1096.0,6231.0,10185.0,14367.0,BK1803,Brooklyn,1629.0,13.847145488029463,7.30816451810927,4.735420503376305,6.252302025782689,35.64356435643564,27.72277227722773,33.16831683168317,33.16831683168317,290.6540750323415,9.6,73.60406091370558,31.79824561403509,4917.0,30.22249690976514,90.54388133498146,71.23609394313968,1960.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,74.87437185929649,0.9665983064861458,6.468356072867073,33.5,Canarsie,1.0,Canarsie,1.0,33.16831683168317,33.5,73.60406091370558,31.798245614035086,45.303481260280975,Moderate Risk,145
Williamsburg,39721.0,1157.0,1143.0,14092.0,1916.0,17114.0,70596.0,12841.0,13551.0,8662.0,4667.0,13518.0,21879.0,6455.0,1180.0,2075.0,1782.0,9646.0,14683.0,21879.0,BK0102,Brooklyn,1906.0,20.839979013641138,8.979013641133264,7.092339979013641,7.703567681007345,55.44554455445545,44.05940594059406,50.0,42.07920792079208,35.074999999999996,69.7,7.1065989847715745,100.0,28741.0,75.60192616372392,76.88603531300161,92.11663991439272,1910.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,32.1608040201005,0.9665983064861458,7.96977154761626,42.0,Williamsburg,1.0,Williamsburg,1.0,50.0,42.0,7.1065989847715745,100.0,45.137400198964365,Moderate Risk,146
Tompkinsville-Stapleton-Clifton-Fox Hills,10032.0,289.0,437.0,3502.0,523.0,4304.0,18611.0,2123.0,4119.0,2230.0,1560.0,3455.0,7004.0,1391.0,391.0,1018.0,756.0,2576.0,4741.0,7004.0,SI0102,Staten Island,557.0,18.010771992818672,7.727109515260323,6.202872531418312,8.511669658886895,50.495049504950494,40.5940594059406,40.099009900990104,45.54455445544555,211.23870967741937,10.7,59.13705583756346,37.719298245614034,2864.0,78.0399274047187,82.94010889292196,90.71869328493648,1925.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,47.23618090452261,1.0483217557530449,8.119329406430829,43.5,Grymes Hill-Clifton-Fox Hills,0.6571428571428571,Grymes Hill-Clifton-Fox Hills,0.6571428571428571,40.099009900990104,43.5,59.13705583756346,37.719298245614034,45.11362696510409,Moderate Risk,147
Forest Hills,19859.0,952.0,735.0,5180.0,794.0,6977.0,38390.0,5493.0,7011.0,5760.0,1595.0,14440.0,19906.0,9604.0,861.0,1583.0,1526.0,11902.0,15872.0,19906.0,QN0602,Queens,749.0,26.514018691588785,9.315086782376502,19.279038718291055,21.190921228304404,65.34653465346535,75.74257425742574,53.96039603960397,74.75247524752476,53.6032,7.5,19.035532994923855,19.29824561403509,31950.0,53.24324324324324,79.72972972972973,71.5972972972973,1948.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,39.69849246231155,1.0,21.190921228304404,72.5,Forest Hills,1.0,Forest Hills,1.0,53.960396039603964,72.5,19.035532994923855,19.298245614035086,44.98481149920238,Moderate Risk,148
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,17113.0,652.0,507.0,7074.0,696.0,8452.0,29845.0,4957.0,5628.0,3552.0,2976.0,8453.0,11645.0,5486.0,445.0,913.0,926.0,6986.0,9270.0,11645.0,BK1503,Brooklyn,976.0,17.533811475409838,8.65983606557377,8.660860655737705,9.49795081967213,49.00990099009901,50.0,45.54455445544555,50.99009900990099,111.12323232323232,13.1,35.025380710659896,52.19298245614035,13721.0,54.51680672268907,77.31092436974791,73.1470588235294,1940.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,33.165829145728644,0.9665983064861458,9.826161246029727,51.5,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1.0,45.54455445544555,51.5,35.025380710659896,52.19298245614035,44.68897276175956,Moderate Risk,149
Bath Beach,13442.0,746.0,395.0,6313.0,446.0,7515.0,22918.0,4595.0,3764.0,2856.0,2227.0,4688.0,7084.0,3272.0,264.0,618.0,383.0,4384.0,5649.0,7084.0,BK1102,Brooklyn,844.0,15.92654028436019,8.904028436018958,5.5545023696682465,6.693127962085308,43.56435643564357,34.15841584158416,48.01980198019802,36.633663366336634,46.98148148148148,24.9,13.19796954314721,94.73684210526316,6342.0,71.44563918757467,79.80884109916367,85.15890083632019,1926.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,40.7035175879397,0.9665983064861458,6.924415154850306,37.0,Bath Beach,1.0,Bath Beach,1.0,48.01980198019802,37.0,13.19796954314721,94.73684210526315,44.576412577272286,Moderate Risk,150
Upper West Side (Central),33697.0,1079.0,837.0,10108.0,2159.0,13399.0,63869.0,9535.0,12000.0,9086.0,3076.0,20233.0,28951.0,12234.0,1067.0,2497.0,2364.0,16064.0,21992.0,28951.0,MN0702,Manhattan,1890.0,17.82910052910053,7.089417989417989,10.705291005291006,11.635978835978836,50.0,58.91089108910891,30.693069306930692,56.930693069306926,133.135593220339,7.9,43.90862944162436,22.36842105263158,47203.0,95.54347826086956,97.77173913043478,122.4516304347826,1894.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,97.98994974874373,1.089156951198049,10.683472958768258,53.5,Upper West Side,1.0,Upper West Side,1.0,30.693069306930692,53.5,43.90862944162436,22.36842105263158,44.518904813173194,Moderate Risk,151
Fort Greene,14136.0,292.0,334.0,7954.0,471.0,8806.0,21809.0,5367.0,3189.0,2242.0,3338.0,3652.0,5501.0,1671.0,278.0,541.0,367.0,2564.0,3750.0,5501.0,BK0203,Brooklyn,1073.0,13.174277726001865,8.206896551724139,3.4035414725069897,3.494874184529357,27.72277227722773,12.871287128712872,41.584158415841586,9.9009900990099,266.48749999999995,15.2,69.03553299492386,72.36842105263158,13258.0,76.89393939393939,80.87121212121212,110.77083333333331,1905.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,42.71356783919598,0.9665983064861458,3.615642776402329,12.0,Fort Greene,1.0,Fort Greene,1.0,41.584158415841586,12.0,69.03553299492386,72.36842105263158,44.40897406555159,Moderate Risk,152
Mariner's Harbor-Arlington-Graniteville,11448.0,286.0,660.0,3798.0,536.0,4761.0,20644.0,2481.0,4802.0,2197.0,1968.0,3679.0,7145.0,1386.0,500.0,862.0,694.0,2869.0,4925.0,7145.0,SI0107,Staten Island,671.0,17.061102831594635,7.095380029806259,5.482861400894188,7.339791356184799,47.52475247524752,33.663366336633665,31.18811881188119,40.099009900990104,222.6861538461538,17.7,61.92893401015228,79.3859649122807,2674.0,35.321100917431195,49.235474006116206,59.72935779816514,1980.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,5.527638190954774,1.0483217557530449,7.001468123603311,38.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1.0,31.18811881188119,38.0,61.92893401015228,79.3859649122807,43.70288100153239,Moderate Risk,153
Woodhaven,9748.0,416.0,248.0,4790.0,415.0,5470.0,16269.0,2514.0,2743.0,1889.0,2602.0,3560.0,5975.0,1994.0,261.0,667.0,460.0,2829.0,4217.0,5975.0,QN0905,Queens,791.0,12.323640960809104,6.915297092288243,4.50063211125158,5.331226295828066,23.76237623762376,26.23762376237624,27.22772277227723,26.23762376237624,140.58590163934426,15.0,45.68527918781726,70.17543859649122,3884.0,93.28263624841571,96.83143219264892,101.56653992395437,1920.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,95.97989949748744,1.0,5.331226295828066,25.0,Woodhaven,1.0,Woodhaven,1.0,27.22772277227723,25.0,45.68527918781726,70.17543859649122,43.679678408469044,Moderate Risk,154
St. Albans,11616.0,244.0,548.0,5246.0,764.0,6325.0,20143.0,1791.0,4259.0,2134.0,3432.0,4877.0,8861.0,2419.0,523.0,1206.0,691.0,3950.0,6370.0,8861.0,QN1205,Queens,1060.0,10.958490566037735,5.966981132075472,4.600943396226415,6.009433962264151,17.326732673267326,27.22772277227723,14.356435643564357,31.18811881188119,258.22253164556963,16.5,66.49746192893402,76.09649122807018,2439.0,72.63257575757575,89.96212121212122,83.84375,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,71.35678391959799,1.0,6.009433962264151,29.5,St. Albans,1.0,St. Albans,1.0,14.356435643564355,29.5,66.49746192893402,76.09649122807018,43.53157515502644,Moderate Risk,155
Gravesend (West),26736.0,1157.0,641.0,12520.0,831.0,14296.0,45076.0,9413.0,7524.0,5408.0,4391.0,6978.0,11146.0,3997.0,463.0,1019.0,1002.0,5577.0,8061.0,11146.0,BK1103,Brooklyn,1728.0,15.47222222222222,8.273148148148149,4.038194444444445,4.664930555555555,40.099009900990104,19.8019801980198,43.06930693069307,21.782178217821784,113.66635514018692,14.9,36.54822335025381,67.32456140350878,11451.0,81.98250728862973,90.55393586005832,88.2198250728863,1930.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,75.37688442211056,0.9665983064861458,4.826131521494051,22.0,Gravesend,1.0,Gravesend,1.0,43.06930693069307,22.0,36.54822335025381,67.32456140350878,43.36680940199606,Moderate Risk,156
East Elmhurst,9029.0,249.0,206.0,4811.0,363.0,5342.0,14743.0,2587.0,2216.0,1749.0,2477.0,2757.0,4885.0,1462.0,255.0,600.0,382.0,2267.0,3504.0,4885.0,QN0302,Queens,720.0,12.540277777777778,7.419444444444444,3.8291666666666666,4.866666666666666,25.247524752475247,17.82178217821782,35.148514851485146,23.76237623762376,214.04,14.4,59.89847715736041,64.03508771929825,2444.0,75.07082152974505,85.41076487252126,84.83852691218131,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,55.778894472361806,1.0,4.866666666666666,22.5,East Elmhurst,1.0,East Elmhurst,1.0,35.148514851485146,22.5,59.89847715736041,64.03508771929825,43.33240249204854,Moderate Risk,157
South Richmond Hill,6810.0,185.0,142.0,3765.0,327.0,4219.0,10908.0,1975.0,1748.0,1175.0,1912.0,2210.0,3932.0,1203.0,182.0,654.0,268.0,1777.0,2881.0,3932.0,QN0903,Queens,599.0,11.368948247078464,7.043405676126878,3.689482470784641,4.809682804674457,20.792079207920793,17.326732673267326,30.1980198019802,22.772277227722775,203.58536585365857,23.9,56.598984771573605,93.2017543859649,1725.0,73.23232323232324,76.76767676767676,83.94444444444444,1925.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,31.155778894472363,1.0,4.809682804674457,21.5,Richmond Hill,0.8125,Richmond Hill,0.8125,30.198019801980198,21.5,56.598984771573605,93.2017543859649,42.85004394225075,Moderate Risk,158
Pelham Gardens,6151.0,171.0,212.0,3285.0,357.0,3796.0,10007.0,1767.0,1818.0,1019.0,1547.0,2263.0,3811.0,1300.0,196.0,405.0,299.0,1896.0,2796.0,3811.0,BX1103,Bronx,534.0,11.5187265917603,7.108614232209738,4.237827715355805,5.235955056179775,21.287128712871286,23.76237623762376,31.683168316831683,25.742574257425744,255.16484375,14.1,65.22842639593908,58.99122807017544,2376.0,48.77126654064272,78.44990548204159,71.32514177693761,1950.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,35.678391959798994,0.8450025656272843,6.196377702466365,31.5,Allerton-Pelham Gardens,0.7567567567567568,Allerton-Pelham Gardens,0.7567567567567568,31.683168316831683,31.5,65.22842639593908,58.99122807017544,42.842159180743536,Moderate Risk,159
Brooklyn Heights,6899.0,102.0,149.0,3781.0,302.0,4204.0,10390.0,2880.0,1369.0,1061.0,1589.0,1981.0,2761.0,908.0,155.0,174.0,213.0,1367.0,1909.0,2761.0,BK0201,Brooklyn,666.0,10.35885885885886,6.312312312312312,2.9744744744744747,2.8663663663663663,14.356435643564357,9.9009900990099,17.326732673267326,6.435643564356436,205.7860681114551,28.5,57.61421319796954,95.83333333333334,11800.0,93.7308868501529,96.02446483180428,143.3577981651376,1879.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,93.96984924623116,0.9665983064861458,2.9654162925097673,7.000000000000001,Crown Heights South,0.7586206896551724,Crown Heights South,0.7586206896551724,17.326732673267326,7.000000000000001,57.61421319796954,95.83333333333334,42.242847366197225,Moderate Risk,160
Greenwich Village,6832.0,115.0,113.0,2983.0,406.0,3515.0,11576.0,2426.0,1666.0,1539.0,1201.0,3426.0,4766.0,1836.0,191.0,366.0,332.0,2449.0,3338.0,4766.0,MN0202,Manhattan,601.0,11.367720465890184,5.848585690515807,5.700499168053245,5.554076539101498,20.2970297029703,35.64356435643564,12.376237623762377,28.217821782178216,176.89999999999998,18.8,52.53807106598985,84.86842105263158,16697.0,90.3114186851211,95.32871972318338,134.8840830449827,1894.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,91.4572864321608,1.089156951198049,5.099427160605397,24.0,Queens Village,0.7096774193548387,Queens Village,0.7096774193548387,12.376237623762377,24.0,52.53807106598985,84.86842105263158,42.096477301437496,Moderate Risk,161
South Ozone Park,15514.0,373.0,476.0,7176.0,949.0,8394.0,26834.0,3009.0,5396.0,2962.0,4147.0,7446.0,12840.0,4233.0,567.0,1546.0,824.0,6037.0,8974.0,12840.0,QN1001,Queens,1379.0,11.250181290790428,6.087019579405366,5.3995649021029735,6.50761421319797,18.81188118811881,33.16831683168317,15.346534653465346,35.148514851485146,165.94562647754137,14.5,49.746192893401016,64.47368421052632,3319.0,85.25073746312685,94.10029498525071,92.43952802359884,1925.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,86.93467336683418,1.0,6.50761421319797,34.5,South Ozone Park,1.0,South Ozone Park,1.0,15.346534653465346,34.5,49.746192893401016,64.47368421052632,41.54271894298217,Moderate Risk,162
Gravesend (South),6994.0,390.0,280.0,3401.0,243.0,4132.0,11532.0,2319.0,2000.0,1269.0,1406.0,2682.0,3897.0,1587.0,185.0,376.0,315.0,2056.0,2932.0,3897.0,BK1301,Brooklyn,476.0,14.693277310924367,8.680672268907562,5.6344537815126055,6.159663865546219,37.62376237623762,35.148514851485146,46.03960396039604,32.67326732673268,113.66635514018692,14.9,36.54822335025381,67.32456140350878,6401.0,42.79661016949153,69.70338983050848,64.44491525423729,1955.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,18.592964824120603,0.9665983064861458,6.372516715799259,33.0,Gravesend,1.0,Gravesend,1.0,46.03960396039604,33.0,36.54822335025381,67.32456140350878,41.329506551107954,Moderate Risk,163
Gramercy,7194.0,175.0,141.0,2404.0,499.0,3103.0,13309.0,2288.0,2073.0,2021.0,812.0,5984.0,8055.0,3856.0,294.0,734.0,461.0,4855.0,6344.0,8055.0,MN0602,Manhattan,468.0,15.371794871794872,6.630341880341881,12.786324786324789,13.555555555555555,39.6039603960396,65.34653465346535,22.772277227722775,62.37623762376238,80.84285714285713,9.9,27.411167512690355,33.33333333333333,15097.0,82.12669683257919,92.98642533936652,106.44570135746606,1910.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,84.42211055276381,1.089156951198049,12.445915660405728,61.0,Gramercy,1.0,Gramercy,1.0,22.772277227722775,61.0,27.411167512690355,33.33333333333333,41.00612772613128,Moderate Risk,164
Bensonhurst,53582.0,2345.0,1409.0,24343.0,1660.0,28081.0,90814.0,18443.0,15944.0,10644.0,8551.0,13639.0,20770.0,8287.0,802.0,2202.0,1557.0,10905.0,15466.0,20770.0,BK1101,Brooklyn,3210.0,16.69221183800623,8.74797507788162,4.248909657320873,4.818068535825545,47.02970297029702,24.257425742574256,47.02970297029702,23.26732673267327,45.473469387755095,15.6,12.690355329949238,74.56140350877193,20522.0,87.53514526710403,90.1593252108716,90.04311152764761,1930.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,73.36683417085426,0.9665983064861458,4.9845613255216294,23.0,Bensonhurst East,1.0,Bensonhurst East,1.0,47.02970297029702,23.0,12.690355329949238,74.56140350877193,40.91787590048017,Moderate Risk,165
Corona,27426.0,634.0,855.0,13735.0,1270.0,15895.0,45685.0,9700.0,6769.0,5745.0,5212.0,9919.0,15409.0,6026.0,710.0,1709.0,1076.0,8215.0,11710.0,15409.0,QN0402,Queens,1769.0,15.50367439231204,8.985302430751837,5.607122668174109,6.619559072922555,40.5940594059406,34.65346534653465,50.495049504950494,35.64356435643564,164.74893048128345,11.7,49.23857868020304,42.76315789473684,14411.0,40.616086708499715,56.18938961779806,60.33827723901882,1970.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,7.537688442211055,1.0,6.619559072922555,35.0,Corona,1.0,Corona,1.0,50.495049504950494,35.0,49.23857868020304,42.76315789473684,40.91447311595739,Moderate Risk,166
Murray Hill-Broadway Flushing,14404.0,671.0,582.0,4679.0,524.0,5976.0,27720.0,3584.0,5226.0,4045.0,1549.0,6139.0,9379.0,3529.0,395.0,1015.0,680.0,4978.0,7068.0,9379.0,QN0704,Queens,628.0,22.936305732484076,9.51592356687898,9.77547770700637,11.254777070063694,59.900990099009896,55.44554455445545,56.43564356435643,55.44554455445545,104.88727272727272,4.9,32.233502538071065,6.798245614035088,11598.0,33.33333333333333,73.5576923076923,65.04326923076923,1960.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,24.120603015075375,1.0,11.254777070063694,55.50000000000001,Murray Hill-Kips Bay,0.6122448979591837,Murray Hill-Kips Bay,0.6122448979591837,56.43564356435643,55.50000000000001,32.233502538071065,6.798245614035088,40.68419072053395,Moderate Risk,167
Old Astoria-Hallets Point,8455.0,236.0,175.0,3879.0,350.0,4442.0,14128.0,3098.0,2097.0,1788.0,1472.0,2822.0,4708.0,1299.0,240.0,448.0,342.0,2208.0,3238.0,4708.0,QN0102,Queens,533.0,15.863039399624766,8.333958724202626,5.294559099437148,6.075046904315197,42.57425742574257,32.17821782178218,44.05940594059406,31.683168316831683,170.69007633587788,12.8,50.76142131979695,50.43859649122807,7639.0,61.48007590132827,68.50094876660341,73.11764705882354,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,17.08542713567839,1.0,6.075046904315197,30.5,Old Astoria,0.6111111111111112,Old Astoria,0.6111111111111112,44.05940594059406,30.5,50.76142131979695,50.43859649122807,40.26943823338966,Moderate Risk,168
St. George-New Brighton,13928.0,366.0,666.0,4287.0,799.0,5620.0,26642.0,2962.0,6258.0,3228.0,1480.0,5354.0,10788.0,2187.0,684.0,1717.0,1063.0,3873.0,7337.0,10788.0,SI0101,Staten Island,631.0,22.072900158478607,8.90649762282092,8.484944532488115,11.62757527733756,58.91089108910891,49.504950495049506,48.51485148514851,56.43564356435643,57.285714285714285,5.9,20.812182741116754,11.403508771929824,4482.0,82.76972624798712,86.15136876006441,95.79227053140096,1920.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,59.2964824120603,1.0483217557530449,11.09160924451585,54.50000000000001,West Brighton,0.6111111111111112,West Brighton,0.6111111111111112,48.51485148514851,54.50000000000001,20.812182741116754,11.403508771929824,39.982066550763406,Moderate Risk,169
Astoria (Central),25156.0,807.0,558.0,10718.0,1025.0,12387.0,42338.0,9218.0,6576.0,5303.0,4059.0,19058.0,23825.0,13027.0,637.0,2681.0,1361.0,15025.0,19704.0,23825.0,QN0103,Queens,1848.0,13.612554112554111,6.702922077922078,10.312770562770565,10.662337662337665,32.67326732673268,57.920792079207914,23.76237623762376,53.46534653465347,100.97222222222224,13.8,31.218274111675125,57.23684210526315,20332.0,75.36704730831974,82.00108754758021,84.03153887982599,1926.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,45.22613065326633,1.0,10.662337662337665,53.0,Astoria,1.0,Astoria,1.0,23.762376237623762,53.0,31.218274111675125,57.23684210526315,39.730507074738256,Moderate Risk,170
Pomonok-Electchester-Hillcrest,4913.0,77.0,140.0,2580.0,191.0,2888.0,7850.0,1731.0,1159.0,889.0,1134.0,2088.0,3270.0,1056.0,142.0,341.0,243.0,1547.0,2273.0,3270.0,QN0802,Queens,326.0,15.070552147239264,8.858895705521473,6.404907975460123,6.97239263803681,39.10891089108911,41.584158415841586,47.52475247524752,38.11881188118812,166.45141242937854,9.3,50.25380710659898,29.82456140350877,5864.0,38.46153846153847,66.76923076923077,62.575384615384614,1952.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,15.07537688442211,1.0,6.97239263803681,37.5,Pomonok-Flushing Heights-Hillcrest,0.6875,Pomonok-Flushing Heights-Hillcrest,0.6875,47.524752475247524,37.5,50.25380710659898,29.82456140350877,39.66440906286258,Moderate Risk,171
Port Richmond,8348.0,225.0,347.0,3074.0,463.0,3759.0,15255.0,1472.0,3535.0,1686.0,1655.0,3171.0,6928.0,1268.0,379.0,869.0,632.0,2507.0,4387.0,6928.0,SI0106,Staten Island,612.0,13.640522875816991,6.142156862745098,5.181372549019608,7.1683006535947715,33.16831683168317,31.18811881188119,15.84158415841584,38.613861386138616,118.3921348314607,26.2,38.578680203045685,95.17543859649122,2042.0,71.71052631578947,75.49342105263158,84.85361842105263,1930.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,27.63819095477387,1.0483217557530449,6.83788218097748,36.5,Port Richmond,1.0,Port Richmond,1.0,15.841584158415841,36.5,38.578680203045685,95.17543859649122,38.63334617308496,Moderate Risk,172
Borough Park,43506.0,1569.0,855.0,23557.0,1364.0,26175.0,68759.0,15114.0,10951.0,7151.0,10290.0,6756.0,11274.0,3667.0,477.0,1183.0,1048.0,5424.0,8132.0,11274.0,BK1202,Brooklyn,2617.0,16.624379059992357,10.0019105846389,2.5815819640810087,3.107374856706152,46.53465346534654,6.435643564356436,60.89108910891089,9.405940594059404,30.034579439252333,38.5,3.2994923857868024,98.90350877192982,14443.0,68.20166732830488,73.20365224295355,79.69472012703454,1930.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,22.61306532663317,0.9665983064861458,3.2147530529019086,8.5,Borough Park,1.0,Borough Park,1.0,60.89108910891089,8.5,3.2994923857868024,98.90350877192982,38.149058058283416,Moderate Risk,173
